,City,Colors Reported,Shape Reported,State,Time,Location
4930,Mountain Home,,OVAL,ID,7/10/1983 21:00,"Mountain Home , ID"
4931,Savanah,,RECTANGLE,GA,7/15/1983 0:00,"Savanah , GA"
4932,Vanderbilt,,OTHER,MI,7/15/1983 0:00,"Vanderbilt , MI"
4933,Hollywood,YELLOW,FIREBALL,FL,7/15/1983 5:30,"Hollywood , FL"
4934,Grand Prairie,,,TX,7/15/1983 18:00,"Grand Prairie , TX"
4935,Lake City,,TRIANGLE,FL,7/15/1983 18:00,"Lake City , FL"
4936,Moreno Valley,,VARIOUS,CA,7/15/1983 18:30,"Moreno Valley , CA"
4937,Fair Lawn,GREEN,SPHERE,NJ,7/15/1983 19:00,"Fair Lawn , NJ"
4938,Edison,,SPHERE,NJ,7/15/1983 20:00,"Edison , NJ"
4939,Poughkeepsie,,OTHER,NY,7/15/1983 21:15,"Poughkeepsie , NY"
4940,Little Falls,,RECTANGLE,NJ,7/15/1983 22:00,"Little Falls , NJ"
4941,Taylorville,,DISK,IL,7/15/1983 22:00,"Taylorville , IL"
4942,Goldens Bridge,,CHEVRON,VA,7/20/1983 22:30,"Goldens Bridge , VA"
4943,San Antonio,,CIGAR,TX,7/27/1983 21:00,"San Antonio , TX"
4944,Santa Rosa,RED,,CA,8/1/1983 1:30,"Santa Rosa , CA"
4945,Reedsville,,SPHERE,WV,8/1/1983 14:30,"Reedsville , WV"
4946,Mt. Kisco,,TRIANGLE,NY,8/1/1983 21:00,"Mt. Kisco , NY"
4947,Dallas,RED YELLOW GREEN,SPHERE,TX,8/1/1983 22:30,"Dallas , TX"
4948,Cassopolis,,SPHERE,MI,8/8/1983 15:00,"Cassopolis , MI"
4949,Pulaski,,TRIANGLE,VA,8/12/1983 23:40,"Pulaski , VA"
4950,Hastings,,OTHER,MI,8/14/1983 2:00,"Hastings , MI"
4951,Plattekill,,DISK,NY,8/15/1983 0:30,"Plattekill , NY"
4952,Citrus Heights,,DISK,CA,8/15/1983 17:00,"Citrus Heights , CA"
4953,Cookstown,,TRIANGLE,NJ,8/15/1983 20:00,"Cookstown , NJ"
4954,Hartford,,FIREBALL,CT,8/15/1983 21:00,"Hartford , CT"
4955,Katonah,,TRIANGLE,NY,8/15/1983 21:00,"Katonah , NY"
4956,Quinton,,OTHER,VA,8/15/1983 21:00,"Quinton , VA"
4957,Shellsburg,,TRIANGLE,IA,8/15/1983 21:00,"Shellsburg , IA"
4958,Bedford Hills,,CHEVRON,NY,8/15/1983 21:05,"Bedford Hills , NY"
4959,Columbus,,DISK,GA,8/15/1983 23:30,"Columbus , GA"
4960,Peoria County,RED ORANGE,CIGAR,IL,8/20/1983 18:00,"Peoria County , IL"
4961,New Haven,,SPHERE,CT,8/21/1983 22:50,"New Haven , CT"
4962,Van Nuys,,TRIANGLE,CA,8/22/1983 22:00,"Van Nuys , CA"
4963,North Las Vegas,,DIAMOND,NV,9/1/1983 19:30,"North Las Vegas , NV"
4964,Allentown,,DISK,PA,9/1/1983 20:00,"Allentown , PA"
4965,Boulder,,TRIANGLE,CO,9/1/1983 21:30,"Boulder , CO"
4966,Maroa,,DISK,IL,9/4/1983 15:10,"Maroa , IL"
4967,Mulberry,,LIGHT,IN,9/10/1983 19:00,"Mulberry , IN"
4968,Plomosa Mountains,,FIREBALL,AZ,9/12/1983 21:00,"Plomosa Mountains , AZ"
4969,Ocean Isle Beach,,DISK,SC,9/13/1983 10:49,"Ocean Isle Beach , SC"
4970,Minden,,SPHERE,NV,9/15/1983 5:00,"Minden , NV"
4971,Clovis,,TRIANGLE,NM,9/15/1983 21:00,"Clovis , NM"
4972,Stratford,,TRIANGLE,CT,9/15/1983 21:00,"Stratford , CT"
4973,Hamersville,RED,SPHERE,OH,9/30/1983 20:00,"Hamersville , OH"
4974,Ayer,,,MA,10/1/1983 20:00,"Ayer , MA"
4975,Elizabeth Township,,OVAL,PA,10/1/1983 20:30,"Elizabeth Township , PA"
4976,Tarboro,,DISK,NC,10/1/1983 21:00,"Tarboro , NC"
4977,California Valley,,DISK,CA,10/15/1983 0:00,"California Valley , CA"
4978,Crete,,TRIANGLE,NE,10/15/1983 19:00,"Crete , NE"
4979,Upper Saddle River,,,NJ,10/21/1983 3:00,"Upper Saddle River , NJ"
4980,California Valley,,DISK,CA,10/25/1983 2:00,"California Valley , CA"
4981,Orange,ORANGE,DIAMOND,MA,10/25/1983 20:55,"Orange , MA"
4982,Rochester,,DIAMOND,NH,10/31/1983 19:00,"Rochester , NH"
4983,Citrus Heights,ORANGE,DISK,CA,11/1/1983 20:00,"Citrus Heights , CA"
4984,Gibsonville,,LIGHT,NC,11/1/1983 20:00,"Gibsonville , NC"
4985,Kingston,,TRIANGLE,NY,11/1/1983 21:00,"Kingston , NY"
4986,Virginia Beach,,LIGHT,VA,11/15/1983 17:00,"Virginia Beach , VA"
4987,Sutherland,,OTHER,NE,11/15/1983 23:30,"Sutherland , NE"
4988,Lake Okeechoobee,,OVAL,FL,11/28/1983 23:00,"Lake Okeechoobee , FL"
4989,Madison,,,WI,12/1/1983 2:00,"Madison , WI"
4990,Indian Springs,,,NV,12/3/1983 2:00,"Indian Springs , NV"
4991,Kent,,,WA,12/5/1983 5:00,"Kent , WA"
4992,Garner,,TRIANGLE,NC,12/15/1983 1:15,"Garner , NC"
4993,Charlottesville,,DISK,VA,12/31/1983 20:00,"Charlottesville , VA"
4994,Fayetteville,,FIREBALL,NC,1/3/1984 13:00,"Fayetteville , NC"
4995,St. George,,FORMATION,UT,1/8/1984 22:00,"St. George , UT"
4996,Idaho,,VARIOUS,ID,1/13/1984 2:12,"Idaho , ID"
4997,Valier,,LIGHT,MT,1/21/1984 21:00,"Valier , MT"
4998,Bozeman,,CIGAR,MT,1/23/1984 6:45,"Bozeman , MT"
4999,Kirkland,,CIRCLE,IL,1/24/1984 0:00,"Kirkland , IL"
5000,Rolla,YELLOW,LIGHT,MO,1/26/1984 19:30,"Rolla , MO"
5001,Columbia,,,SC,2/1/1984 21:00,"Columbia , SC"
5002,Marlow,,FIREBALL,NH,2/10/1984 22:00,"Marlow , NH"
5003,Eugene,,TRIANGLE,OR,3/1/1984 22:00,"Eugene , OR"
5004,Cowansville,,TRIANGLE,PA,3/14/1984 16:00,"Cowansville , PA"
5005,Griffin,RED YELLOW,CIRCLE,GA,3/15/1984 20:00,"Griffin , GA"
5006,Greenville,,TRIANGLE,VA,3/15/1984 21:30,"Greenville , VA"
5007,Alton,,OTHER,ME,3/18/1984 2:30,"Alton , ME"
5008,Newburgh,,CIRCLE,NY,3/24/1984 8:00,"Newburgh , NY"
5009,Mettacahonts,,FORMATION,NY,3/27/1984 20:00,"Mettacahonts , NY"
5010,Rosendale,,CIRCLE,NY,3/27/1984 23:00,"Rosendale , NY"
5011,Griffin,,CIRCLE,GA,3/30/1984 13:00,"Griffin , GA"
5012,Arlington,,TRIANGLE,TX,4/5/1984 21:30,"Arlington , TX"
5013,Monahans,,,TX,4/11/1984 2:00,"Monahans , TX"
5014,Southwest City,,LIGHT,MO,4/11/1984 21:30,"Southwest City , MO"
5015,Branford,,EGG,CT,4/15/1984 0:00,"Branford , CT"
5016,Lake Worth,,DISK,FL,4/15/1984 2:00,"Lake Worth , FL"
5017,Elizabethtown,,DISK,KY,4/15/1984 15:00,"Elizabethtown , KY"
5018,Yelvington,,TRIANGLE,KY,4/15/1984 21:00,"Yelvington , KY"
5019,Magnolia,,DISK,TX,4/21/1984 22:00,"Magnolia , TX"
5020,Auburn,,TRIANGLE,NY,4/23/1984 5:30,"Auburn , NY"
5021,Joliet,,CIRCLE,IL,5/1/1984 18:00,"Joliet , IL"
5022,Glen Rose,,TRIANGLE,AR,5/1/1984 19:00,"Glen Rose , AR"
5023,Burnsville,RED,RECTANGLE,MN,5/1/1984 20:00,"Burnsville , MN"
5024,Proctorville,BLUE,DISK,OH,5/5/1984 12:00,"Proctorville , OH"
5025,Cloquet,,OTHER,MN,5/5/1984 22:00,"Cloquet , MN"
5026,Los Angeles,,DISK,CA,5/14/1984 15:00,"Los Angeles , CA"
5027,Cleveland,,OTHER,GA,5/15/1984 16:00,"Cleveland , GA"
5028,Flower Mound,,DISK,TX,5/15/1984 18:45,"Flower Mound , TX"
5029,Winchester,,CIRCLE,VA,5/15/1984 23:00,"Winchester , VA"
5030,Barstow,,CIRCLE,CA,5/20/1984 21:00,"Barstow , CA"
5031,Marlette,,,MI,5/20/1984 22:30,"Marlette , MI"
5032,Longview,,TRIANGLE,TX,5/21/1984 21:30,"Longview , TX"
5033,Huntsville,,SPHERE,AL,6/1/1984 0:00,"Huntsville , AL"
5034,Huntsville,,SPHERE,AL,6/1/1984 0:00,"Huntsville , AL"
5035,Mayfield,,DISK,KY,6/1/1984 0:00,"Mayfield , KY"
5036,Sweetwater,,,TN,6/1/1984 0:00,"Sweetwater , TN"
5037,Tampa,,CYLINDER,FL,6/1/1984 2:20,"Tampa , FL"
5038,Colfax,,OVAL,WA,6/1/1984 12:00,"Colfax , WA"
5039,Orlando,,CIRCLE,FL,6/1/1984 12:00,"Orlando , FL"
5040,Bowling Green,,,KY,6/1/1984 13:00,"Bowling Green , KY"
5041,Elmendorf AFB,RED,DIAMOND,AK,6/1/1984 13:00,"Elmendorf AFB , AK"
5042,Wakefield,,EGG,MA,6/1/1984 17:00,"Wakefield , MA"
5043,Mobile,,SPHERE,AL,6/1/1984 17:15,"Mobile , AL"
5044,Sierra Vista,,TRIANGLE,AZ,6/1/1984 18:00,"Sierra Vista , AZ"
5045,Parker City,,FIREBALL,IN,6/1/1984 19:00,"Parker City , IN"
5046,Paramus,,CIGAR,NJ,6/1/1984 20:00,"Paramus , NJ"
5047,Bandon,,RECTANGLE,OR,6/1/1984 21:00,"Bandon , OR"
5048,Ka'anapali,,LIGHT,HI,6/1/1984 21:00,"Ka'anapali , HI"
5049,Perry,,OTHER,OH,6/1/1984 21:00,"Perry , OH"
5050,Ferriday,,OTHER,LA,6/1/1984 22:00,"Ferriday , LA"
5051,Tolland,,TRIANGLE,CT,6/1/1984 22:00,"Tolland , CT"
5052,Los Angeles,,CIRCLE,CA,6/1/1984 23:00,"Los Angeles , CA"
5053,Ravenna,,CIRCLE,MI,6/1/1984 23:30,"Ravenna , MI"
5054,Clayton,,DISK,OH,6/10/1984 22:00,"Clayton , OH"
5055,Spalding,,LIGHT,NE,6/15/1984 0:30,"Spalding , NE"
5056,Burgettstown,,FIREBALL,PA,6/15/1984 1:00,"Burgettstown , PA"
5057,Ashville,,DISK,OH,6/15/1984 2:50,"Ashville , OH"
5058,Jacksonport,,DISK,WI,6/15/1984 3:00,"Jacksonport , WI"
5059,Methow,,OVAL,WA,6/15/1984 3:00,"Methow , WA"
5060,Griffin,,,GA,6/15/1984 14:00,"Griffin , GA"
5061,Draper,,CONE,VA,6/15/1984 16:45,"Draper , VA"
5062,Asheville,,CIRCLE,NC,6/15/1984 18:00,"Asheville , NC"
5063,Ely,,DIAMOND,MN,6/15/1984 19:00,"Ely , MN"
5064,Mansfield,RED,FORMATION,OH,6/15/1984 20:00,"Mansfield , OH"
5065,Wheeling,,,WY,6/15/1984 20:30,"Wheeling , WY"
5066,Greenburg,,,NY,6/15/1984 21:30,"Greenburg , NY"
5067,Grain Valley,,SPHERE,MO,6/15/1984 22:00,"Grain Valley , MO"
5068,Indjifa,,DISK,PA,6/15/1984 22:30,"Indjifa , PA"
5069,Lorain,,CIRCLE,OH,6/17/1984 10:00,"Lorain , OH"
5070,Wilkes-Barre,,OTHER,PA,6/19/1984 11:00,"Wilkes-Barre , PA"
5071,Sacramento,,CIRCLE,CA,6/20/1984 12:00,"Sacramento , CA"
5072,Holmwood,,OVAL,LA,6/20/1984 20:20,"Holmwood , LA"
5073,Columbia,,OVAL,SC,6/24/1984 19:00,"Columbia , SC"
5074,Tallahassee,,,FL,6/24/1984 21:00,"Tallahassee , FL"
5075,El Paso,,CIRCLE,TX,6/30/1984 0:30,"El Paso , TX"
5076,Adelanto,,SPHERE,CA,6/30/1984 6:40,"Adelanto , CA"
5077,Malvern,,,AR,6/30/1984 8:30,"Malvern , AR"
5078,Atlanta,,,GA,6/30/1984 12:00,"Atlanta , GA"
5079,Denton,,LIGHT,TX,6/30/1984 21:00,"Denton , TX"
5080,Oakhill,,CIRCLE,TX,6/30/1984 21:30,"Oakhill , TX"
5081,Milford,,SPHERE,CT,6/30/1984 22:00,"Milford , CT"
5082,New York City,,TRIANGLE,NY,7/1/1984 21:30,"New York City , NY"
5083,Peekskill,,TRIANGLE,NY,7/1/1984 22:00,"Peekskill , NY"
5084,DeWitt,BLUE,FIREBALL,AR,7/4/1984 4:00,"DeWitt , AR"
5085,Eatonton,,TRIANGLE,GA,7/7/1984 22:00,"Eatonton , GA"
5086,Irvington,,CYLINDER,KY,7/8/1984 23:00,"Irvington , KY"
5087,Martin,,OVAL,SD,7/8/1984 23:00,"Martin , SD"
5088,Blairstown,BLUE,LIGHT,MO,7/10/1984 3:30,"Blairstown , MO"
5089,Lake Skinner,BLUE,LIGHT,CA,7/10/1984 4:00,"Lake Skinner , CA"
5090,New Pine Creek,,LIGHT,CA,7/10/1984 22:30,"New Pine Creek , CA"
5091,Portsmouth,,CIRCLE,VA,7/14/1984 22:00,"Portsmouth , VA"
5092,Deming area,,CYLINDER,NM,7/15/1984 2:00,"Deming area , NM"
5093,Brighton,,OTHER,MI,7/15/1984 23:00,"Brighton , MI"
5094,Knightstown,,TRIANGLE,IN,7/18/1984 1:30,"Knightstown , IN"
5095,Millwood,,TRIANGLE,NY,7/19/1984 18:00,"Millwood , NY"
5096,Ossining,,OTHER,NY,7/19/1984 18:00,"Ossining , NY"
5097,Iowa City,,CIRCLE,IA,7/20/1984 22:00,"Iowa City , IA"
5098,Brewster,RED,OVAL,NY,7/24/1984 22:00,"Brewster , NY"
5099,Perkiomenville,GREEN,DISK,PA,7/24/1984 22:00,"Perkiomenville , PA"
5100,Terre Haute,,OTHER,IN,7/25/1984 4:00,"Terre Haute , IN"
5101,Watchung Mountains,,,NJ,7/25/1984 12:00,"Watchung Mountains , NJ"
5102,Suffolk,ORANGE,SPHERE,VA,7/25/1984 20:00,"Suffolk , VA"
5103,Rosebud,,OTHER,MO,7/31/1984 19:00,"Rosebud , MO"
5104,Middlebury,,OTHER,CT,7/31/1984 22:00,"Middlebury , CT"
5105,Middlebury,,OTHER,CT,7/31/1984 22:00,"Middlebury , CT"
5106,Sandpoint,,DISK,ID,8/1/1984 4:00,"Sandpoint , ID"
5107,Manotowish Waters,RED,LIGHT,WI,8/1/1984 23:00,"Manotowish Waters , WI"
5108,Caribou,,EGG,ME,8/7/1984 21:00,"Caribou , ME"
5109,Gaylord,,OTHER,MI,8/8/1984 23:00,"Gaylord , MI"
5110,Bellingham,,,WA,8/10/1984 4:30,"Bellingham , WA"
5111,Boalsburg,,LIGHT,PA,8/10/1984 23:00,"Boalsburg , PA"
5112,Columbus,,RECTANGLE,OH,8/12/1984 21:00,"Columbus , OH"
5113,Eureka,,CIRCLE,MT,8/14/1984 0:00,"Eureka , MT"
5114,Wabeno,,OTHER,WI,8/15/1984 0:00,"Wabeno , WI"
5115,Beckley,,,WV,8/15/1984 1:00,"Beckley , WV"
5116,Cape Canaveral,,LIGHT,FL,8/15/1984 1:30,"Cape Canaveral , FL"
5117,Haddon Heights,,TRIANGLE,NJ,8/15/1984 19:30,"Haddon Heights , NJ"
5118,Croton-on-Hudson,,SPHERE,NY,8/15/1984 21:00,"Croton-on-Hudson , NY"
5119,South Glens Falls,,CIGAR,NY,8/15/1984 21:00,"South Glens Falls , NY"
5120,Stamford,,DISK,CT,8/15/1984 21:00,"Stamford , CT"
5121,Brewster,,CHEVRON,NY,8/15/1984 23:00,"Brewster , NY"
5122,Countryside,GREEN BLUE,TRIANGLE,IL,8/18/1984 8:30,"Countryside , IL"
5123,Cedarburg,,RECTANGLE,WI,8/21/1984 21:30,"Cedarburg , WI"
5124,Altha,,CYLINDER,FL,8/26/1984 16:00,"Altha , FL"
5125,Baltimore,,TRIANGLE,MD,9/1/1984 19:00,"Baltimore , MD"
5126,Pacific Beach,,OVAL,CA,9/1/1984 19:00,"Pacific Beach , CA"
5127,Medanales,RED,LIGHT,NM,9/1/1984 21:00,"Medanales , NM"
5128,River Rouge,,SPHERE,MI,9/1/1984 22:00,"River Rouge , MI"
5129,Manor,,,TX,9/1/1984 23:00,"Manor , TX"
5130,Osage,,SPHERE,IA,9/2/1984 8:20,"Osage , IA"
5131,Plumas Eureka State Park Camp Grounds,,TRIANGLE,CA,9/3/1984 23:00,"Plumas Eureka State Park Camp Grounds , CA"
5132,Alamo Lake,,,AZ,9/4/1984 22:00,"Alamo Lake , AZ"
5133,California,,CIGAR,CA,9/9/1984 22:00,"California , CA"
5134,Schuylkill Haven,,TRIANGLE,PA,9/15/1984 20:00,"Schuylkill Haven , PA"
5135,Sterling,,LIGHT,AK,9/15/1984 23:00,"Sterling , AK"
5136,Elwood,,CHEVRON,NY,9/16/1984 15:00,"Elwood , NY"
5137,New York City,,TEARDROP,NY,9/20/1984 21:00,"New York City , NY"
5138,Waldport,,LIGHT,OR,10/1/1984 1:00,"Waldport , OR"
5139,Chatsworth,,LIGHT,CA,10/1/1984 20:00,"Chatsworth , CA"
5140,Acton,RED,TRIANGLE,ME,10/1/1984 21:00,"Acton , ME"
5141,Augusta,,FIREBALL,GA,10/3/1984 21:00,"Augusta , GA"
5142,Houston,,CIRCLE,TX,10/10/1984 5:00,"Houston , TX"
5143,Traverse City,,OTHER,MI,10/10/1984 12:00,"Traverse City , MI"
5144,White Plains,,FORMATION,NY,10/10/1984 22:00,"White Plains , NY"
5145,Duchenne,,DISK,UT,10/15/1984 1:00,"Duchenne , UT"
5146,Newbury,,CIGAR,OH,10/15/1984 2:30,"Newbury , OH"
5147,New Castle,,OTHER,DE,10/15/1984 8:15,"New Castle , DE"
5148,Quincy,,,CA,10/15/1984 9:00,"Quincy , CA"
5149,Skowhegan,,DISK,ME,10/15/1984 19:00,"Skowhegan , ME"
5150,Albuquerque,,DISK,NM,10/15/1984 19:30,"Albuquerque , NM"
5151,Strafford,,CIRCLE,MO,10/15/1984 21:00,"Strafford , MO"
5152,Uvalde,,CIRCLE,TX,10/15/1984 22:30,"Uvalde , TX"
5153,New Boston,,EGG,TX,10/15/1984 23:00,"New Boston , TX"
5154,Allendale,,LIGHT,MI,10/18/1984 22:00,"Allendale , MI"
5155,Middle Town,,DIAMOND,CA,10/20/1984 3:00,"Middle Town , CA"
5156,Columbus,,LIGHT,OH,10/20/1984 5:00,"Columbus , OH"
5157,Honey Grove,,DISK,TX,11/1/1984 17:30,"Honey Grove , TX"
5158,Carrollton,,OTHER,GA,11/7/1984 2:30,"Carrollton , GA"
5159,Brandon,,CYLINDER,MS,11/9/1984 4:00,"Brandon , MS"
5160,Edgartown,,TRIANGLE,MA,11/11/1984 23:00,"Edgartown , MA"
5161,Alvarado,,FIREBALL,TX,11/14/1984 20:00,"Alvarado , TX"
5162,Jasper,,,FL,11/15/1984 18:00,"Jasper , FL"
5163,North Platte,,OTHER,NE,11/15/1984 18:00,"North Platte , NE"
5164,Ruggles Beach,,CHEVRON,OH,11/20/1984 5:00,"Ruggles Beach , OH"
5165,Columbus,,CIGAR,WI,11/24/1984 13:00,"Columbus , WI"
5166,Williamstown,,TRIANGLE,MA,11/24/1984 19:30,"Williamstown , MA"
5167,St. Charles,RED,VARIOUS,IL,11/26/1984 22:00,"St. Charles , IL"
5168,Montgomery,,FIREBALL,AL,12/1/1984 18:00,"Montgomery , AL"
5169,Emporium,,CIRCLE,PA,12/4/1984 20:00,"Emporium , PA"
5170,Tocca,,TRIANGLE,GA,12/24/1984 23:15,"Tocca , GA"
5171,Holly,,OTHER,MI,1/1/1985 1:00,"Holly , MI"
5172,Largo,RED,OTHER,FL,1/1/1985 21:00,"Largo , FL"
5173,Virginia Beach,RED,,VA,1/1/1985 22:00,"Virginia Beach , VA"
5174,Caribbean Sea,,OTHER,FL,1/1/1985 23:00,"Caribbean Sea , FL"
5175,Wampum,,CIRCLE,PA,1/15/1985 3:00,"Wampum , PA"
5176,McGrady,,VARIOUS,NC,1/15/1985 20:50,"McGrady , NC"
5177,Sunbury,,,PA,1/15/1985 22:00,"Sunbury , PA"
5178,South Gate,,CYLINDER,CA,1/15/1985 22:30,"South Gate , CA"
5179,Hermiston,BLUE,OTHER,OR,1/27/1985 1:30,"Hermiston , OR"
5180,Portland,,LIGHT,OR,2/1/1985 22:30,"Portland , OR"
5181,Hinesville,,SPHERE,GA,2/15/1985 0:00,"Hinesville , GA"
5182,Malden,ORANGE,FIREBALL,MO,2/15/1985 0:00,"Malden , MO"
5183,Portland,,LIGHT,OR,2/28/1985 23:00,"Portland , OR"
5184,Wichita,ORANGE,TRIANGLE,KS,3/1/1985 20:30,"Wichita , KS"
5185,Woodbridge,,,VA,3/2/1985 20:15,"Woodbridge , VA"
5186,Bellefontaine,,CHEVRON,MO,3/14/1985 19:13,"Bellefontaine , MO"
5187,Unadilla,,CIGAR,NE,3/15/1985 14:30,"Unadilla , NE"
5188,Nashville,,OVAL,TN,3/26/1985 1:25,"Nashville , TN"
5189,New York City,,VARIOUS,NY,4/1/1985 15:00,"New York City , NY"
5190,Weston,,OTHER,CT,4/1/1985 20:00,"Weston , CT"
5191,Stone Ridge,,OTHER,NY,4/4/1985 20:00,"Stone Ridge , NY"
5192,Chicago,,DISK,IL,4/4/1985 23:00,"Chicago , IL"
5193,Nova,,TRIANGLE,OH,4/15/1985 21:30,"Nova , OH"
5194,Granville Summit,,DISK,PA,4/15/1985 22:00,"Granville Summit , PA"
5195,Austin,,OVAL,TX,4/19/1985 21:00,"Austin , TX"
5196,Sanford,,SPHERE,NC,4/20/1985 10:00,"Sanford , NC"
5197,San Francisco,,CYLINDER,CA,4/27/1985 18:30,"San Francisco , CA"
5198,Dequincy,,,LA,4/30/1985 11:00,"Dequincy , LA"
5199,Harrisburg,,LIGHT,NC,5/1/1985 13:00,"Harrisburg , NC"
5200,Milwaukee,,LIGHT,WI,5/1/1985 13:00,"Milwaukee , WI"
5201,Santa Cruz,,OTHER,CA,5/1/1985 14:00,"Santa Cruz , CA"
5202,North Miami,,CIRCLE,FL,5/1/1985 17:00,"North Miami , FL"
5203,Grand Island,,SPHERE,NE,5/1/1985 19:00,"Grand Island , NE"
5204,Lanett,,LIGHT,AL,5/1/1985 20:30,"Lanett , AL"
5205,Wiseman's View,,CIRCLE,NC,5/1/1985 21:00,"Wiseman's View , NC"
5206,Orlando,,TRIANGLE,FL,5/8/1985 21:30,"Orlando , FL"
5207,Magna,,SPHERE,UT,5/10/1985 6:00,"Magna , UT"
5208,Altoona,,DISK,PA,5/12/1985 20:00,"Altoona , PA"
5209,Beaver Damm,,CIGAR,WI,5/15/1985 17:00,"Beaver Damm , WI"
5210,Clarksburg,,CIRCLE,WV,5/15/1985 20:00,"Clarksburg , WV"
5211,Tempe,,SPHERE,AZ,5/15/1985 22:00,"Tempe , AZ"
5212,Little Rock,,CIRCLE,AR,5/23/1985 9:00,"Little Rock , AR"
5213,Middletown,GREEN,RECTANGLE,NY,5/30/1985 0:00,"Middletown , NY"
5214,California,,CIGAR,CA,6/1/1985 0:00,"California , CA"
5215,Pensacola,,FORMATION,FL,6/1/1985 0:00,"Pensacola , FL"
5216,Winslow,,TRIANGLE,AR,6/1/1985 12:00,"Winslow , AR"
5217,Prineville,,OTHER,OR,6/1/1985 13:00,"Prineville , OR"
5218,St. Petersburg,,TEARDROP,FL,6/1/1985 14:30,"St. Petersburg , FL"
5219,Tampa,,DISK,FL,6/1/1985 17:00,"Tampa , FL"
5220,Forestville,,DISK,CA,6/1/1985 17:30,"Forestville , CA"
5221,Trenton,GREEN,OVAL,TX,6/1/1985 17:30,"Trenton , TX"
5222,Bemidji,,TRIANGLE,MN,6/1/1985 18:00,"Bemidji , MN"
5223,Phoenix,,,AZ,6/1/1985 20:00,"Phoenix , AZ"
5224,Reno,,OTHER,NV,6/1/1985 21:00,"Reno , NV"
5225,Lola,,SPHERE,KS,6/1/1985 22:00,"Lola , KS"
5226,North Tonawanda,,CHEVRON,NY,6/1/1985 22:00,"North Tonawanda , NY"
5227,Snohomish,,TRIANGLE,WA,6/1/1985 22:00,"Snohomish , WA"
5228,Wilkesboro,,FIREBALL,NC,6/1/1985 22:00,"Wilkesboro , NC"
5229,Stratford,,SPHERE,NJ,6/1/1985 22:40,"Stratford , NJ"
5230,Casselberry,,OTHER,FL,6/1/1985 23:00,"Casselberry , FL"
5231,Sebastopol,,,CA,6/1/1985 23:00,"Sebastopol , CA"
5232,Old Faithful,,,WY,6/2/1985 23:30,"Old Faithful , WY"
5233,Ft. Huachuca,,TRIANGLE,AZ,6/6/1985 20:00,"Ft. Huachuca , AZ"
5234,Tulsa,,DISK,OK,6/7/1985 16:30,"Tulsa , OK"
5235,Gainesville,,CIGAR,FL,6/10/1985 22:10,"Gainesville , FL"
5236,Houston,,TRIANGLE,TX,6/11/1985 22:30,"Houston , TX"
5237,Coronado,,,CA,6/12/1985 11:00,"Coronado , CA"
5238,Wallingford,,RECTANGLE,CT,6/14/1985 20:00,"Wallingford , CT"
5239,Grayridge,,VARIOUS,MO,6/15/1985 0:00,"Grayridge , MO"
5240,Seward,,DISK,AK,6/15/1985 2:00,"Seward , AK"
5241,Route 7,,RECTANGLE,NY,6/15/1985 2:30,"Route 7 , NY"
5242,El Paso,,DISK,TX,6/15/1985 12:00,"El Paso , TX"
5243,Stokes,,DISK,NC,6/15/1985 14:00,"Stokes , NC"
5244,Kalamazoo,,,MI,6/15/1985 17:00,"Kalamazoo , MI"
5245,Fairfax,,,VA,6/15/1985 18:00,"Fairfax , VA"
5246,Panther,,OVAL,WV,6/15/1985 18:00,"Panther , WV"
5247,Mohave Desert,BLUE,OVAL,CA,6/15/1985 19:00,"Mohave Desert , CA"
5248,Rolla,,CIRCLE,MO,6/15/1985 20:00,"Rolla , MO"
5249,Waverly Hall,,DISK,GA,6/15/1985 20:00,"Waverly Hall , GA"
5250,Ladson,GREEN,CIRCLE,SC,6/15/1985 21:00,"Ladson , SC"
5251,New York City,,OVAL,NY,6/15/1985 23:00,"New York City , NY"
5252,Wichita,GREEN,CIRCLE,KS,6/15/1985 23:00,"Wichita , KS"
5253,"Joshua Tree National Park, Twenty Nine Palms",,FORMATION,CA,6/17/1985 2:00,"Joshua Tree National Park, Twenty Nine Palms , CA"
5254,Cottage Grove,,SPHERE,OR,6/18/1985 13:00,"Cottage Grove , OR"
5255,Barboursville,,CYLINDER,WV,6/19/1985 20:30,"Barboursville , WV"
5256,Salem,,SPHERE,NH,6/20/1985 14:00,"Salem , NH"
5257,Kankakee,,CYLINDER,IL,6/20/1985 21:00,"Kankakee , IL"
5258,Lorain,BLUE,CIRCLE,OH,6/20/1985 22:30,"Lorain , OH"
5259,Daisytown,,CIRCLE,PA,6/23/1985 22:00,"Daisytown , PA"
5260,Hallandale Beach,,DISK,FL,6/30/1985 2:00,"Hallandale Beach , FL"
5261,Whitney,,FORMATION,TX,6/30/1985 2:30,"Whitney , TX"
5262,Jasper,,,MO,6/30/1985 12:00,"Jasper , MO"
5263,Big Bend National Park,,,TX,6/30/1985 13:00,"Big Bend National Park , TX"
5264,Harlan,,DISK,IN,6/30/1985 17:00,"Harlan , IN"
5265,Katy,,TRIANGLE,TX,6/30/1985 18:00,"Katy , TX"
5266,Paterson,,DISK,NJ,6/30/1985 18:00,"Paterson , NJ"
5267,Eustis,,LIGHT,FL,6/30/1985 18:30,"Eustis , FL"
5268,White Plains,,CHEVRON,NY,6/30/1985 20:00,"White Plains , NY"
5269,,,,AZ,6/30/1985 21:30,
